FID,nomeTesto,versionID,datasetIni,datasetFin,legDataAbr,legSpecRif,legLink,legGU_Link,localID,namespace,ID_Evento,ID_EventoS,nomeLingua,nomeStatus,nomeOrigin,nomePronun,nomeFonte,nomeScript,tipoZona,tipoZonaSp,designIniz,designFine,dominioAmb,nomeAutCom,nomeAutRuo,legNome,legNomeBre,legData,legDataTip,legNumID,legDocUff,legDataApp,legLivello,legGU_ID,legGU_ISSN,legGU_ISBN
10,Valle d'Aosta,01,06/11/2020,20/11/2020,unknown,art.3,https://www.trovanorme.salute.gov.it/norme/dettaglioAtto?id=77054,https://www.gazzettaufficiale.it/eli/id/2020/11/05/20A06144/sg, ,IT.PCMDPC,1,COVID-19-Italia,ita,standardizzato,endonimo,unpopulated,regISTAT2020,ital,humanHealthRestrictedZone,areaMisureUrgentiContenimentoContagio,1604620800000,20/11/2020,tutelaSalute,Ministero della Salute,authority,Ulteriori misure urgenti in materia di contenimento e gestione emergenza epidemiologica COVID-19,Ordinanza 04/11/2020,1604448000000,creation,unpopulated,unknown,1604620800000,regionale,276 05/11/2020,unpopulated,unpopulated
11,Veneto,01,06/11/2020,03/12/2020,unknown,art.1,https://www.trovanorme.salute.gov.it/norme/dettaglioAtto?id=76993,https://www.gazzettaufficiale.it/eli/id/2020/11/04/20A06109/sg, ,IT.PCMDPC,1,COVID-19-Italia,ita,standardizzato,endonimo,unpopulated,regISTAT2020,ital,humanHealthRestrictedZone,areaMisureUrgentiContenimentoContagio,1604620800000,03/12/2020,tutelaSalute,Presidente del Consiglio dei Ministri,authority,Ulteriori misure urgenti per fronteggiare l'emergenza epidemiologica da COVID-19,DPCM 03/11/2020,1604361600000,creation,unpopulated,unknown,1604620800000,regionale,275 04/11/2020,unpopulated,unpopulated
12,Abruzzo,02,10/11/2020,24/11/2020,unknown,art.2,https://www.trovanorme.salute.gov.it/norme/dettaglioAtto?id=77109,https://www.gazzettaufficiale.it/eli/id/2020/11/10/20A06211/sg, ,IT.PCMDPC,1,COVID-19-Italia,ita,standardizzato,endonimo,unpopulated,regISTAT2020,ital,humanHealthRestrictedZone,areaMisureUrgentiContenimentoContagio,1604966400000,24/11/2020,tutelaSalute,Ministero della Salute,authority,Ulteriori misure urgenti in materia di contenimento e gestione emergenza epidemiologica COVID-19,Ordinanza 10/11/2020,1604966400000,creation,unpopulated,unknown,1604966400000,regionale,280 10/11/2020,unpopulated,unpopulated
13,Basilicata,02,10/11/2020,24/11/2020,unknown,art.2,https://www.trovanorme.salute.gov.it/norme/dettaglioAtto?id=77109,https://www.gazzettaufficiale.it/eli/id/2020/11/10/20A06211/sg, ,IT.PCMDPC,1,COVID-19-Italia,ita,standardizzato,endonimo,unpopulated,regISTAT2020,ital,humanHealthRestrictedZone,areaMisureUrgentiContenimentoContagio,1604966400000,24/11/2020,tutelaSalute,Ministero della Salute,authority,Ulteriori misure urgenti in materia di contenimento e gestione emergenza epidemiologica COVID-19,Ordinanza 10/11/2020,1604966400000,creation,unpopulated,unknown,1604966400000,regionale,280 10/11/2020,unpopulated,unpopulated
14,Liguria,02,10/11/2020,24/11/2020,unknown,art.2,https://www.trovanorme.salute.gov.it/norme/dettaglioAtto?id=77109,https://www.gazzettaufficiale.it/eli/id/2020/11/10/20A06211/sg, ,IT.PCMDPC,1,COVID-19-Italia,ita,standardizzato,endonimo,unpopulated,regISTAT2020,ital,humanHealthRestrictedZone,areaMisureUrgentiContenimentoContagio,1604966400000,24/11/2020,tutelaSalute,Ministero della Salute,authority,Ulteriori misure urgenti in materia di contenimento e gestione emergenza epidemiologica COVID-19,Ordinanza 10/11/2020,1604966400000,creation,unpopulated,unknown,1604966400000,regionale,280 10/11/2020,unpopulated,unpopulated
15,Provincia autonoma Bolzano,02,10/11/2020,24/11/2020,unknown,art.3,https://www.trovanorme.salute.gov.it/norme/dettaglioAtto?id=77109,https://www.gazzettaufficiale.it/eli/id/2020/11/10/20A06211/sg, ,IT.PCMDPC,1,COVID-19-Italia,ita,standardizzato,endonimo,unpopulated,provISTAT2020,ital,humanHealthRestrictedZone,areaMisureUrgentiContenimentoContagio,1604966400000,24/11/2020,tutelaSalute,Ministero della Salute,authority,Ulteriori misure urgenti in materia di contenimento e gestione emergenza epidemiologica COVID-19,Ordinanza 10/11/2020,1604966400000,creation,unpopulated,unknown,1604966400000,provinciale,280 10/11/2020,unpopulated,unpopulated
16,Toscana,02,10/11/2020,24/11/2020,unknown,art.2,https://www.trovanorme.salute.gov.it/norme/dettaglioAtto?id=77109,https://www.gazzettaufficiale.it/eli/id/2020/11/10/20A06211/sg, ,IT.PCMDPC,1,COVID-19-Italia,ita,standardizzato,endonimo,unpopulated,regISTAT2020,ital,humanHealthRestrictedZone,areaMisureUrgentiContenimentoContagio,1604966400000,24/11/2020,tutelaSalute,Ministero della Salute,authority,Ulteriori misure urgenti in materia di contenimento e gestione emergenza epidemiologica COVID-19,Ordinanza 10/11/2020,1604966400000,creation,unpopulated,unknown,1604966400000,regionale,280 10/11/2020,unpopulated,unpopulated
17,Umbria,02,10/11/2020,24/11/2020,unknown,art.2,https://www.trovanorme.salute.gov.it/norme/dettaglioAtto?id=77109,https://www.gazzettaufficiale.it/eli/id/2020/11/10/20A06211/sg, ,IT.PCMDPC,1,COVID-19-Italia,ita,standardizzato,endonimo,unpopulated,regISTAT2020,ital,humanHealthRestrictedZone,areaMisureUrgentiContenimentoContagio,1604966400000,24/11/2020,tutelaSalute,Ministero della Salute,authority,Ulteriori misure urgenti in materia di contenimento e gestione emergenza epidemiologica COVID-19,Ordinanza 10/11/2020,1604966400000,creation,unpopulated,unknown,1604966400000,regionale,280 10/11/2020,unpopulated,unpopulated
18,Campania,03,15/11/2020,29/11/2020,unknown,art.3,https://www.trovanorme.salute.gov.it/norme/dettaglioAtto?id=77154,https://www.gazzettaufficiale.it/eli/id/2020/11/14/20A06292/sg, ,IT.PCMDPC,1,COVID-19-Italia,ita,standardizzato,endonimo,unpopulated,regISTAT2020,ital,humanHealthRestrictedZone,areaMisureUrgentiContenimentoContagio,1605398400000,29/11/2020,tutelaSalute,Ministero della Salute,authority,Ulteriori misure urgenti in materia di contenimento e gestione emergenza epidemiologica COVID-19,Ordinanza 13/11/2020,1605225600000,creation,unpopulated,unknown,1605398400000,regionale,284 14/11/2020,unpopulated,unpopulated
19,Emilia-Romagna,03,15/11/2020,29/11/2020,unknown,art.2,https://www.trovanorme.salute.gov.it/norme/dettaglioAtto?id=77154,https://www.gazzettaufficiale.it/eli/id/2020/11/14/20A06292/sg, ,IT.PCMDPC,1,COVID-19-Italia,ita,standardizzato,endonimo,unpopulated,regISTAT2020,ital,humanHealthRestrictedZone,areaMisureUrgentiContenimentoContagio,1605398400000,29/11/2020,tutelaSalute,Ministero della Salute,authority,Ulteriori misure urgenti in materia di contenimento e gestione emergenza epidemiologica COVID-19,Ordinanza 13/11/2020,1605225600000,creation,unpopulated,unknown,1605398400000,regionale,284 14/11/2020,unpopulated,unpopulated
20,Friuli Venezia Giulia,03,15/11/2020,29/11/2020,unknown,art.2,https://www.trovanorme.salute.gov.it/norme/dettaglioAtto?id=77154,https://www.gazzettaufficiale.it/eli/id/2020/11/14/20A06292/sg, ,IT.PCMDPC,1,COVID-19-Italia,ita,standardizzato,endonimo,unpopulated,regISTAT2020,ital,humanHealthRestrictedZone,areaMisureUrgentiContenimentoContagio,1605398400000,29/11/2020,tutelaSalute,Ministero della Salute,authority,Ulteriori misure urgenti in materia di contenimento e gestione emergenza epidemiologica COVID-19,Ordinanza 13/11/2020,1605225600000,creation,unpopulated,unknown,1605398400000,regionale,284 14/11/2020,unpopulated,unpopulated
21,Marche,03,15/11/2020,29/11/2020,unknown,art.2,https://www.trovanorme.salute.gov.it/norme/dettaglioAtto?id=77154,https://www.gazzettaufficiale.it/eli/id/2020/11/14/20A06292/sg, ,IT.PCMDPC,1,COVID-19-Italia,ita,standardizzato,endonimo,unpopulated,regISTAT2020,ital,humanHealthRestrictedZone,areaMisureUrgentiContenimentoContagio,1605398400000,29/11/2020,tutelaSalute,Ministero della Salute,authority,Ulteriori misure urgenti in materia di contenimento e gestione emergenza epidemiologica COVID-19,Ordinanza 13/11/2020,1605225600000,creation,unpopulated,unknown,1605398400000,regionale,284 14/11/2020,unpopulated,unpopulated
22,Toscana,03,15/11/2020,29/11/2020,unknown,art.3,https://www.trovanorme.salute.gov.it/norme/dettaglioAtto?id=77154,https://www.gazzettaufficiale.it/eli/id/2020/11/14/20A06292/sg, ,IT.PCMDPC,1,COVID-19-Italia,ita,standardizzato,endonimo,unpopulated,regISTAT2020,ital,humanHealthRestrictedZone,areaMisureUrgentiContenimentoContagio,1605398400000,29/11/2020,tutelaSalute,Ministero della Salute,authority,Ulteriori misure urgenti in materia di contenimento e gestione emergenza epidemiologica COVID-19,Ordinanza 13/11/2020,1605225600000,creation,unpopulated,unknown,1605398400000,regionale,284 14/11/2020,unpopulated,unpopulated
23,Abruzzo,04,22/11/2020,03/12/2020,unknown,art.3,https://www.trovanorme.salute.gov.it/norme/dettaglioAtto?id=77277,https://www.gazzettaufficiale.it/eli/id/2020/11/21/20A06467/sg, ,IT.PCMDPC,1,COVID-19-Italia,ita,standardizzato,endonimo,unpopulated,regISTAT2020,ital,humanHealthRestrictedZone,areaMisureUrgentiContenimentoContagio,1606003200000,03/12/2020,tutelaSalute,Ministero della Salute,authority,Ulteriori misure urgenti in materia di contenimento e gestione emergenza epidemiologica COVID-19,Ordinanza 20/11/2020,1605830400000,creation,unpopulated,unknown,1606003200000,regionale,290 21/11/2020,unpopulated,unpopulated
24,Calabria,04,20/11/2020,03/12/2020,unknown,art.3,https://www.trovanorme.salute.gov.it/norme/dettaglioAtto?id=77208,https://www.gazzettaufficiale.it/eli/id/2020/11/20/20A06423/sg, ,IT.PCMDPC,1,COVID-19-Italia,ita,standardizzato,endonimo,unpopulated,regISTAT2020,ital,humanHealthRestrictedZone,areaMisureUrgentiContenimentoContagio,1605830400000,03/12/2020,tutelaSalute,Ministero della Salute,authority,Ulteriori misure urgenti in materia di contenimento e gestione emergenza epidemiologica COVID-19,Ordinanza 19/11/2020,1605744000000,creation,unpopulated,unknown,1605830400000,regionale,289 20/11/2020,unpopulated,unpopulated
25,Lombardia,04,20/11/2020,03/12/2020,unknown,art.3,https://www.trovanorme.salute.gov.it/norme/dettaglioAtto?id=77208,https://www.gazzettaufficiale.it/eli/id/2020/11/20/20A06423/sg, ,IT.PCMDPC,1,COVID-19-Italia,ita,standardizzato,endonimo,unpopulated,regISTAT2020,ital,humanHealthRestrictedZone,areaMisureUrgentiContenimentoContagio,1605830400000,03/12/2020,tutelaSalute,Ministero della Salute,authority,Ulteriori misure urgenti in materia di contenimento e gestione emergenza epidemiologica COVID-19,Ordinanza 19/11/2020,1605744000000,creation,unpopulated,unknown,1605830400000,regionale,289 20/11/2020,unpopulated,unpopulated
26,Piemonte,04,20/11/2020,03/12/2020,unknown,art.3,https://www.trovanorme.salute.gov.it/norme/dettaglioAtto?id=77208,https://www.gazzettaufficiale.it/eli/id/2020/11/20/20A06423/sg, ,IT.PCMDPC,1,COVID-19-Italia,ita,standardizzato,endonimo,unpopulated,regISTAT2020,ital,humanHealthRestrictedZone,areaMisureUrgentiContenimentoContagio,1605830400000,03/12/2020,tutelaSalute,Ministero della Salute,authority,Ulteriori misure urgenti in materia di contenimento e gestione emergenza epidemiologica COVID-19,Ordinanza 19/11/2020,1605744000000,creation,unpopulated,unknown,1605830400000,regionale,289 20/11/2020,unpopulated,unpopulated
27,Puglia,04,20/11/2020,03/12/2020,unknown,art.2,https://www.trovanorme.salute.gov.it/norme/dettaglioAtto?id=77208,https://www.gazzettaufficiale.it/eli/id/2020/11/20/20A06423/sg, ,IT.PCMDPC,1,COVID-19-Italia,ita,standardizzato,endonimo,unpopulated,regISTAT2020,ital,humanHealthRestrictedZone,areaMisureUrgentiContenimentoContagio,1605830400000,03/12/2020,tutelaSalute,Ministero della Salute,authority,Ulteriori misure urgenti in materia di contenimento e gestione emergenza epidemiologica COVID-19,Ordinanza 19/11/2020,1605744000000,creation,unpopulated,unknown,1605830400000,regionale,289 20/11/2020,unpopulated,unpopulated
28,Sicilia,04,20/11/2020,03/12/2020,unknown,art.2,https://www.trovanorme.salute.gov.it/norme/dettaglioAtto?id=77208,https://www.gazzettaufficiale.it/eli/id/2020/11/20/20A06423/sg, ,IT.PCMDPC,1,COVID-19-Italia,ita,standardizzato,endonimo,unpopulated,regISTAT2020,ital,humanHealthRestrictedZone,areaMisureUrgentiContenimentoContagio,1605830400000,03/12/2020,tutelaSalute,Ministero della Salute,authority,Ulteriori misure urgenti in materia di contenimento e gestione emergenza epidemiologica COVID-19,Ordinanza 19/11/2020,1605744000000,creation,unpopulated,unknown,1605830400000,regionale,289 20/11/2020,unpopulated,unpopulated
29,Valle d'Aosta,04,20/11/2020,03/12/2020,unknown,art.3,https://www.trovanorme.salute.gov.it/norme/dettaglioAtto?id=77208,https://www.gazzettaufficiale.it/eli/id/2020/11/20/20A06423/sg, ,IT.PCMDPC,1,COVID-19-Italia,ita,standardizzato,endonimo,unpopulated,regISTAT2020,ital,humanHealthRestrictedZone,areaMisureUrgentiContenimentoContagio,1605830400000,03/12/2020,tutelaSalute,Ministero della Salute,authority,Ulteriori misure urgenti in materia di contenimento e gestione emergenza epidemiologica COVID-19,Ordinanza 19/11/2020,1605744000000,creation,unpopulated,unknown,1605830400000,regionale,289 20/11/2020,unpopulated,unpopulated
30,Basilicata,05,24/11/2020,03/12/2020,unknown,art.2,https://www.trovanorme.salute.gov.it/norme/dettaglioAtto?id=77336,https://www.gazzettaufficiale.it/eli/id/2020/11/24/20A06541/sg, ,IT.PCMDPC,1,COVID-19-Italia,ita,standardizzato,endonimo,unpopulated,regISTAT2020,ital,humanHealthRestrictedZone,areaMisureUrgentiContenimentoContagio,1606176000000,03/12/2020,tutelaSalute,Ministero della Salute,authority,Ulteriori misure urgenti in materia di contenimento e gestione emergenza epidemiologica COVID-19,Ordinanza 24/11/2020,1606176000000,creation,unpopulated,unknown,1606176000000,regionale,292 24/11/2020,unpopulated,unpopulated
31,Liguria,05,24/11/2020,03/12/2020,unknown,art.2,https://www.trovanorme.salute.gov.it/norme/dettaglioAtto?id=77336,https://www.gazzettaufficiale.it/eli/id/2020/11/24/20A06541/sg, ,IT.PCMDPC,1,COVID-19-Italia,ita,standardizzato,endonimo,unpopulated,regISTAT2020,ital,humanHealthRestrictedZone,areaMisureUrgentiContenimentoContagio,1606176000000,03/12/2020,tutelaSalute,Ministero della Salute,authority,Ulteriori misure urgenti in materia di contenimento e gestione emergenza epidemiologica COVID-19,Ordinanza 24/11/2020,1606176000000,creation,unpopulated,unknown,1606176000000,regionale,292 24/11/2020,unpopulated,unpopulated
32,Provincia autonoma Bolzano,05,24/11/2020,03/12/2020,unknown,art.3,https://www.trovanorme.salute.gov.it/norme/dettaglioAtto?id=77336,https://www.gazzettaufficiale.it/eli/id/2020/11/24/20A06541/sg, ,IT.PCMDPC,1,COVID-19-Italia,ita,standardizzato,endonimo,unpopulated,provISTAT2020,ital,humanHealthRestrictedZone,areaMisureUrgentiContenimentoContagio,1606176000000,03/12/2020,tutelaSalute,Ministero della Salute,authority,Ulteriori misure urgenti in materia di contenimento e gestione emergenza epidemiologica COVID-19,Ordinanza 24/11/2020,1606176000000,creation,unpopulated,unknown,1606176000000,provinciale,292 24/11/2020,unpopulated,unpopulated
33,Umbria,05,24/11/2020,03/12/2020,unknown,art.2,https://www.trovanorme.salute.gov.it/norme/dettaglioAtto?id=77336,https://www.gazzettaufficiale.it/eli/id/2020/11/24/20A06541/sg, ,IT.PCMDPC,1,COVID-19-Italia,ita,standardizzato,endonimo,unpopulated,regISTAT2020,ital,humanHealthRestrictedZone,areaMisureUrgentiContenimentoContagio,1606176000000,03/12/2020,tutelaSalute,Ministero della Salute,authority,Ulteriori misure urgenti in materia di contenimento e gestione emergenza epidemiologica COVID-19,Ordinanza 24/11/2020,1606176000000,creation,unpopulated,unknown,1606176000000,regionale,292 24/11/2020,unpopulated,unpopulated
34,Calabria,06,29/11/2020,03/12/2020,unknown,art.2,https://www.trovanorme.salute.gov.it/norme/dettaglioAtto?id=77433,https://www.gazzettaufficiale.it/eli/id/2020/11/28/20A06656/sg, ,IT.PCMDPC,1,COVID-19-Italia,ita,standardizzato,endonimo,unpopulated,regISTAT2020,ital,humanHealthRestrictedZone,areaMisureUrgentiContenimentoContagio,1606608000000,03/12/2020,tutelaSalute,Ministero della Salute,authority,Ulteriori misure urgenti in materia di contenimento e gestione emergenza epidemiologica COVID-19,Ordinanza 27/11/2020,1606435200000,creation,unpopulated,unknown,1606608000000,regionale,296 28/11/2020,unpopulated,unpopulated
35,Campania,06,15/11/2020,03/12/2020,unknown,art.3,https://www.trovanorme.salute.gov.it/norme/dettaglioAtto?id=77434,https://www.gazzettaufficiale.it/eli/id/2020/11/28/20A06657/sg, ,IT.PCMDPC,1,COVID-19-Italia,ita,standardizzato,endonimo,unpopulated,regISTAT2020,ital,humanHealthRestrictedZone,areaMisureUrgentiContenimentoContagio,1605398400000,03/12/2020,tutelaSalute,Ministero della Salute,authority,Ulteriori misure urgenti in materia di contenimento e gestione emergenza epidemiologica COVID-19,Ordinanza 27/11/2020,1606435200000,creation,unpopulated,unknown,1606608000000,regionale,296 28/11/2020,unpopulated,unpopulated
36,Emilia-Romagna,06,15/11/2020,03/12/2020,unknown,art.2,https://www.trovanorme.salute.gov.it/norme/dettaglioAtto?id=77434,https://www.gazzettaufficiale.it/eli/id/2020/11/28/20A06657/sg, ,IT.PCMDPC,1,COVID-19-Italia,ita,standardizzato,endonimo,unpopulated,regISTAT2020,ital,humanHealthRestrictedZone,areaMisureUrgentiContenimentoContagio,1605398400000,03/12/2020,tutelaSalute,Ministero della Salute,authority,Ulteriori misure urgenti in materia di contenimento e gestione emergenza epidemiologica COVID-19,Ordinanza 27/11/2020,1606435200000,creation,unpopulated,unknown,1606608000000,regionale,296 28/11/2020,unpopulated,unpopulated
37,Friuli Venezia Giulia,06,15/11/2020,03/12/2020,unknown,art.2,https://www.trovanorme.salute.gov.it/norme/dettaglioAtto?id=77434,https://www.gazzettaufficiale.it/eli/id/2020/11/28/20A06657/sg, ,IT.PCMDPC,1,COVID-19-Italia,ita,standardizzato,endonimo,unpopulated,regISTAT2020,ital,humanHealthRestrictedZone,areaMisureUrgentiContenimentoContagio,1605398400000,03/12/2020,tutelaSalute,Ministero della Salute,authority,Ulteriori misure urgenti in materia di contenimento e gestione emergenza epidemiologica COVID-19,Ordinanza 27/11/2020,1606435200000,creation,unpopulated,unknown,1606608000000,regionale,296 28/11/2020,unpopulated,unpopulated
38,Liguria,06,29/11/2020,03/12/2020,unknown,art.1,https://www.trovanorme.salute.gov.it/norme/dettaglioAtto?id=77433,https://www.gazzettaufficiale.it/eli/id/2020/11/28/20A06656/sg, ,IT.PCMDPC,1,COVID-19-Italia,ita,standardizzato,endonimo,unpopulated,regISTAT2020,ital,humanHealthRestrictedZone,areaMisureUrgentiContenimentoContagio,1606608000000,03/12/2020,tutelaSalute,Ministero della Salute,authority,Ulteriori misure urgenti in materia di contenimento e gestione emergenza epidemiologica COVID-19,Ordinanza 27/11/2020,1606435200000,creation,unpopulated,unknown,1606608000000,regionale,296 28/11/2020,unpopulated,unpopulated
39,Lombardia,06,29/11/2020,03/12/2020,unknown,art.2,https://www.trovanorme.salute.gov.it/norme/dettaglioAtto?id=77433,https://www.gazzettaufficiale.it/eli/id/2020/11/28/20A06656/sg, ,IT.PCMDPC,1,COVID-19-Italia,ita,standardizzato,endonimo,unpopulated,regISTAT2020,ital,humanHealthRestrictedZone,areaMisureUrgentiContenimentoContagio,1606608000000,03/12/2020,tutelaSalute,Ministero della Salute,authority,Ulteriori misure urgenti in materia di contenimento e gestione emergenza epidemiologica COVID-19,Ordinanza 27/11/2020,1606435200000,creation,unpopulated,unknown,1606608000000,regionale,296 28/11/2020,unpopulated,unpopulated
40,Marche,06,15/11/2020,03/12/2020,unknown,art.2,https://www.trovanorme.salute.gov.it/norme/dettaglioAtto?id=77434,https://www.gazzettaufficiale.it/eli/id/2020/11/28/20A06657/sg, ,IT.PCMDPC,1,COVID-19-Italia,ita,standardizzato,endonimo,unpopulated,regISTAT2020,ital,humanHealthRestrictedZone,areaMisureUrgentiContenimentoContagio,1605398400000,03/12/2020,tutelaSalute,Ministero della Salute,authority,Ulteriori misure urgenti in materia di contenimento e gestione emergenza epidemiologica COVID-19,Ordinanza 27/11/2020,1606435200000,creation,unpopulated,unknown,1606608000000,regionale,296 28/11/2020,unpopulated,unpopulated
