NUTS_code,datasetIniISO,versionID,nomeTesto,FID,datasetIni,datasetFin,designIniz,designFine,nomeAutCom,legNomeBre,legData,legLink,legSpecRif,legLivello,legGU_Link,zona,datasetFinISO,NUTS_level
ITI1,2020-11-15,6,Toscana,42,15/11/2020,03/12/2020,1605398400000,03/12/2020,Ministero della Salute,Ordinanza 27/11/2020,1606435200000,http://www.salute.gov.it/imgs/C_17_notizie_5197_1_file.pdf,art.3,regionale,https://www.gazzettaufficiale.it/eli/id/2020/11/28/20A06657/sg,rossa,2020-12-03,2
ITF6,2020-11-20,4,Calabria,25,20/11/2020,03/12/2020,1605830400000,03/12/2020,Ministero della Salute,Ordinanza 19/11/2020,1605744000000,https://www.trovanorme.salute.gov.it/norme/dettaglioAtto?id=77208,art.3,regionale,https://www.gazzettaufficiale.it/eli/id/2020/11/20/20A06423/sg,rossa,2020-12-03,2
ITC4,2020-11-20,4,Lombardia,24,20/11/2020,03/12/2020,1605830400000,03/12/2020,Ministero della Salute,Ordinanza 19/11/2020,1605744000000,https://www.trovanorme.salute.gov.it/norme/dettaglioAtto?id=77208,art.3,regionale,https://www.gazzettaufficiale.it/eli/id/2020/11/20/20A06423/sg,rossa,2020-12-03,2
ITC1,2020-11-20,4,Piemonte,22,20/11/2020,03/12/2020,1605830400000,03/12/2020,Ministero della Salute,Ordinanza 19/11/2020,1605744000000,https://www.trovanorme.salute.gov.it/norme/dettaglioAtto?id=77208,art.3,regionale,https://www.gazzettaufficiale.it/eli/id/2020/11/20/20A06423/sg,rossa,2020-12-03,2
ITF4,2020-11-20,4,Puglia,26,20/11/2020,03/12/2020,1605830400000,03/12/2020,Ministero della Salute,Ordinanza 19/11/2020,1605744000000,https://www.trovanorme.salute.gov.it/norme/dettaglioAtto?id=77208,art.2,regionale,https://www.gazzettaufficiale.it/eli/id/2020/11/20/20A06423/sg,arancione,2020-12-03,2
ITG1,2020-11-20,4,Sicilia,27,20/11/2020,03/12/2020,1605830400000,03/12/2020,Ministero della Salute,Ordinanza 19/11/2020,1605744000000,https://www.trovanorme.salute.gov.it/norme/dettaglioAtto?id=77208,art.2,regionale,https://www.gazzettaufficiale.it/eli/id/2020/11/20/20A06423/sg,arancione,2020-12-03,2
ITC2,2020-11-20,4,Valle d'Aosta,23,20/11/2020,03/12/2020,1605830400000,03/12/2020,Ministero della Salute,Ordinanza 19/11/2020,1605744000000,https://www.trovanorme.salute.gov.it/norme/dettaglioAtto?id=77208,art.3,regionale,https://www.gazzettaufficiale.it/eli/id/2020/11/20/20A06423/sg,rossa,2020-12-03,2
ITF1,2020-11-22,4,Abruzzo,28,22/11/2020,03/12/2020,1606003200000,03/12/2020,Ministero della Salute,Ordinanza 20/11/2020,1605830400000,https://bit.ly/3kVMXNB,art.3,regionale,https://www.gazzettaufficiale.it/eli/id/2020/11/21/20A06467/sg,rossa,2020-12-03,2
ITF5,2020-11-24,5,Basilicata,32,24/11/2020,03/12/2020,1606176000000,03/12/2020,Ministero della Salute,Ordinanza 24/11/2020,1606176000000,https://www.trovanorme.salute.gov.it/norme/dettaglioAtto?id=77336,art.2,regionale,https://www.gazzettaufficiale.it/eli/id/2020/11/24/20A06541/sg,arancione,2020-12-03,2
ITC3,2020-11-24,5,Liguria,30,24/11/2020,03/12/2020,1606176000000,03/12/2020,Ministero della Salute,Ordinanza 24/11/2020,1606176000000,https://www.trovanorme.salute.gov.it/norme/dettaglioAtto?id=77336,art.2,regionale,https://www.gazzettaufficiale.it/eli/id/2020/11/24/20A06541/sg,arancione,2020-12-03,2
ITH1,2020-11-24,5,Provincia autonoma Bolzano,33,24/11/2020,03/12/2020,1606176000000,03/12/2020,Ministero della Salute,Ordinanza 24/11/2020,1606176000000,https://www.trovanorme.salute.gov.it/norme/dettaglioAtto?id=77336,art.3,provinciale,https://www.gazzettaufficiale.it/eli/id/2020/11/24/20A06541/sg,rossa,2020-12-03,2
ITI2,2020-11-24,5,Umbria,31,24/11/2020,03/12/2020,1606176000000,03/12/2020,Ministero della Salute,Ordinanza 24/11/2020,1606176000000,https://www.trovanorme.salute.gov.it/norme/dettaglioAtto?id=77336,art.2,regionale,https://www.gazzettaufficiale.it/eli/id/2020/11/24/20A06541/sg,arancione,2020-12-03,2
ITF6,2020-11-29,6,Calabria,36,29/11/2020,03/12/2020,1606608000000,03/12/2020,Ministero della Salute,Ordinanza 27/11/2020,1606435200000,http://www.salute.gov.it/imgs/C_17_notizie_5197_0_file.pdf,art.2,regionale,https://www.gazzettaufficiale.it/eli/id/2020/11/28/20A06656/sg,arancione,2020-12-03,2
ITC3,2020-11-29,6,Liguria,38,29/11/2020,03/12/2020,1606608000000,03/12/2020,Ministero della Salute,Ordinanza 27/11/2020,1606435200000,http://www.salute.gov.it/imgs/C_17_notizie_5197_0_file.pdf,art.1,regionale,https://www.gazzettaufficiale.it/eli/id/2020/11/28/20A06656/sg,gialla,2020-12-03,2
ITC4,2020-11-29,6,Lombardia,35,29/11/2020,03/12/2020,1606608000000,03/12/2020,Ministero della Salute,Ordinanza 27/11/2020,1606435200000,http://www.salute.gov.it/imgs/C_17_notizie_5197_0_file.pdf,art.2,regionale,https://www.gazzettaufficiale.it/eli/id/2020/11/28/20A06656/sg,arancione,2020-12-03,2
ITC1,2020-11-29,6,Piemonte,34,29/11/2020,03/12/2020,1606608000000,03/12/2020,Ministero della Salute,Ordinanza 27/11/2020,1606435200000,http://www.salute.gov.it/imgs/C_17_notizie_5197_0_file.pdf,art.2,regionale,https://www.gazzettaufficiale.it/eli/id/2020/11/28/20A06656/sg,arancione,2020-12-03,2
ITG1,2020-11-29,6,Sicilia,37,29/11/2020,03/12/2020,1606608000000,03/12/2020,Ministero della Salute,Ordinanza 27/11/2020,1606435200000,http://www.salute.gov.it/imgs/C_17_notizie_5197_0_file.pdf,art.1,regionale,https://www.gazzettaufficiale.it/eli/id/2020/11/28/20A06656/sg,gialla,2020-12-03,2
ITF1,2020-12-06,7,Abruzzo,44,06/12/2020,20/12/2020,1607212800000,20/12/2020,Ministero della Salute,Ordinanza 05/12/2020,1607126400000,https://www.trovanorme.salute.gov.it/norme/dettaglioAtto?id=77515,art.3,regionale,https://www.gazzettaufficiale.it/eli/id/2020/12/05/20A06781/sg,rossa,2020-12-20,2
ITF5,2020-12-06,7,Basilicata,45,06/12/2020,20/12/2020,1607212800000,20/12/2020,Ministero della Salute,Ordinanza 05/12/2020,1607126400000,https://www.trovanorme.salute.gov.it/norme/dettaglioAtto?id=77515,art.2,regionale,https://www.gazzettaufficiale.it/eli/id/2020/12/05/20A06781/sg,arancione,2020-12-20,2
ITF6,2020-12-06,7,Calabria,48,06/12/2020,20/12/2020,1607212800000,20/12/2020,Ministero della Salute,Ordinanza 05/12/2020,1607126400000,https://www.trovanorme.salute.gov.it/norme/dettaglioAtto?id=77515,art.2,regionale,https://www.gazzettaufficiale.it/eli/id/2020/12/05/20A06781/sg,arancione,2020-12-20,2
ITF3,2020-12-06,8,Campania,66,06/12/2020,20/12/2020,1607212800000,20/12/2020,Ministero della Salute,Ordinanza 05/12/2020,1607126400000,https://www.trovanorme.salute.gov.it/norme/dettaglioAtto?id=77516,art.1,regionale,https://www.gazzettaufficiale.it/eli/id/2020/12/05/20A06782/sg,gialla,2020-12-20,2
ITH5,2020-12-06,7,Emilia-Romagna,56,06/12/2020,15/01/2021,1607212800000,15/01/2021,Ministero della Salute,Ordinanza 05/12/2020,1607126400000,https://www.trovanorme.salute.gov.it/norme/dettaglioAtto?id=77517,art.1,regionale,https://www.gazzettaufficiale.it/eli/id/2020/12/05/20A06783/sg,gialla,2021-01-15,2
ITH4,2020-12-06,7,Friuli Venezia Giulia,55,06/12/2020,15/01/2021,1607212800000,15/01/2021,Ministero della Salute,Ordinanza 05/12/2020,1607126400000,https://www.trovanorme.salute.gov.it/norme/dettaglioAtto?id=77517,art.1,regionale,https://www.gazzettaufficiale.it/eli/id/2020/12/05/20A06783/sg,gialla,2021-01-15,2
ITC4,2020-12-06,7,Lombardia,47,06/12/2020,20/12/2020,1607212800000,20/12/2020,Ministero della Salute,Ordinanza 05/12/2020,1607126400000,https://www.trovanorme.salute.gov.it/norme/dettaglioAtto?id=77515,art.2,regionale,https://www.gazzettaufficiale.it/eli/id/2020/12/05/20A06781/sg,arancione,2020-12-20,2
ITI3,2020-12-06,7,Marche,57,06/12/2020,15/01/2021,1607212800000,15/01/2021,Ministero della Salute,Ordinanza 05/12/2020,1607126400000,https://www.trovanorme.salute.gov.it/norme/dettaglioAtto?id=77517,art.1,regionale,https://www.gazzettaufficiale.it/eli/id/2020/12/05/20A06783/sg,gialla,2021-01-15,2
ITC1,2020-12-06,7,Piemonte,46,06/12/2020,20/12/2020,1607212800000,20/12/2020,Ministero della Salute,Ordinanza 05/12/2020,1607126400000,https://www.trovanorme.salute.gov.it/norme/dettaglioAtto?id=77515,art.2,regionale,https://www.gazzettaufficiale.it/eli/id/2020/12/05/20A06781/sg,arancione,2020-12-20,2
ITH1,2020-12-06,8,Provincia autonoma Bolzano,64,06/12/2020,20/12/2020,1607212800000,20/12/2020,Ministero della Salute,Ordinanza 05/12/2020,1607126400000,https://www.trovanorme.salute.gov.it/norme/dettaglioAtto?id=77516,art.1,provinciale,https://www.gazzettaufficiale.it/eli/id/2020/12/05/20A06782/sg,gialla,2020-12-20,2
ITF4,2020-12-06,7,Puglia,53,06/12/2020,15/01/2021,1607212800000,15/01/2021,Ministero della Salute,Ordinanza 05/12/2020,1607126400000,https://www.trovanorme.salute.gov.it/norme/dettaglioAtto?id=77517,art.1,regionale,https://www.gazzettaufficiale.it/eli/id/2020/12/05/20A06783/sg,gialla,2021-01-15,2
ITI1,2020-12-06,8,Toscana,65,06/12/2020,20/12/2020,1607212800000,20/12/2020,Ministero della Salute,Ordinanza 05/12/2020,1607126400000,https://www.trovanorme.salute.gov.it/norme/dettaglioAtto?id=77516,art.1,regionale,https://www.gazzettaufficiale.it/eli/id/2020/12/05/20A06782/sg,gialla,2020-12-20,2
ITI2,2020-12-06,7,Umbria,54,06/12/2020,15/01/2021,1607212800000,15/01/2021,Ministero della Salute,Ordinanza 05/12/2020,1607126400000,https://www.trovanorme.salute.gov.it/norme/dettaglioAtto?id=77517,art.1,regionale,https://www.gazzettaufficiale.it/eli/id/2020/12/05/20A06783/sg,gialla,2021-01-15,2
ITC2,2020-12-06,8,Valle d'Aosta,63,06/12/2020,20/12/2020,1607212800000,20/12/2020,Ministero della Salute,Ordinanza 05/12/2020,1607126400000,https://www.trovanorme.salute.gov.it/norme/dettaglioAtto?id=77516,art.1,regionale,https://www.gazzettaufficiale.it/eli/id/2020/12/05/20A06782/sg,gialla,2020-12-20,2
ITF1,2020-12-13,9,Abruzzo,58,13/12/2020,26/12/2020,1607817600000,26/12/2020,Ministero della Salute,Ordinanza 11/12/2020,1607644800000,https://www.trovanorme.salute.gov.it/norme/dettaglioAtto?id=77661,art.2,regionale,https://www.gazzettaufficiale.it/eli/id/2020/12/12/20A06975/sg,arancione,2020-12-26,2
ITF5,2020-12-13,9,Basilicata,59,13/12/2020,26/12/2020,1607817600000,26/12/2020,Ministero della Salute,Ordinanza 11/12/2020,1607644800000,https://www.trovanorme.salute.gov.it/norme/dettaglioAtto?id=77661,art.1,regionale,https://www.gazzettaufficiale.it/eli/id/2020/12/12/20A06975/sg,gialla,2020-12-26,2
ITF6,2020-12-13,9,Calabria,62,13/12/2020,26/12/2020,1607817600000,26/12/2020,Ministero della Salute,Ordinanza 11/12/2020,1607644800000,https://www.trovanorme.salute.gov.it/norme/dettaglioAtto?id=77661,art.1,regionale,https://www.gazzettaufficiale.it/eli/id/2020/12/12/20A06975/sg,gialla,2020-12-26,2
ITC4,2020-12-13,9,Lombardia,61,13/12/2020,26/12/2020,1607817600000,26/12/2020,Ministero della Salute,Ordinanza 11/12/2020,1607644800000,https://www.trovanorme.salute.gov.it/norme/dettaglioAtto?id=77661,art.1,regionale,https://www.gazzettaufficiale.it/eli/id/2020/12/12/20A06975/sg,gialla,2020-12-26,2
ITC1,2020-12-13,9,Piemonte,60,13/12/2020,26/12/2020,1607817600000,26/12/2020,Ministero della Salute,Ordinanza 11/12/2020,1607644800000,https://www.trovanorme.salute.gov.it/norme/dettaglioAtto?id=77661,art.1,regionale,https://www.gazzettaufficiale.it/eli/id/2020/12/12/20A06975/sg,gialla,2020-12-26,2
IT,2020-12-24,10,Intero territorio nazionale,67,24/12/2020,27/12/2020,1608768000000,27/12/2020,Presidente della Repubblica,DL 18/12/2020 n.172,1608249600000,https://www.trovanorme.salute.gov.it/norme/dettaglioAtto?id=77853,art.3,nazionale,https://www.gazzettaufficiale.it/eli/id/2020/12/18/20G00196/sg,rossa,2020-12-27,0
IT,2020-12-28,11,Intero territorio nazionale,70,28/12/2020,30/12/2020,1609113600000,30/12/2020,Presidente della Repubblica,DL 18/12/2020 n.172,1608249600000,https://www.trovanorme.salute.gov.it/norme/dettaglioAtto?id=77853,art.2,nazionale,https://www.gazzettaufficiale.it/eli/id/2020/12/18/20G00196/sg,arancione,2020-12-30,0
IT,2020-12-31,12,Intero territorio nazionale,68,31/12/2020,03/01/2021,1609372800000,03/01/2021,Presidente della Repubblica,DL 18/12/2020 n.172,1608249600000,https://www.trovanorme.salute.gov.it/norme/dettaglioAtto?id=77853,art.3,nazionale,https://www.gazzettaufficiale.it/eli/id/2020/12/18/20G00196/sg,rossa,2021-01-03,0
IT,2021-01-04,13,Intero territorio nazionale,71,04/01/2021,04/01/2021,1609718400000,04/01/2021,Presidente della Repubblica,DL 18/12/2020 n.172,1608249600000,https://www.trovanorme.salute.gov.it/norme/dettaglioAtto?id=77853,art.2,nazionale,https://www.gazzettaufficiale.it/eli/id/2020/12/18/20G00196/sg,arancione,2021-01-04,0
IT,2021-01-05,14,Intero territorio nazionale,69,05/01/2021,06/01/2021,1609804800000,06/01/2021,Presidente della Repubblica,DL 18/12/2020 n.172,1608249600000,https://www.trovanorme.salute.gov.it/norme/dettaglioAtto?id=77853,art.3,nazionale,https://www.gazzettaufficiale.it/eli/id/2020/12/18/20G00196/sg,rossa,2021-01-06,0
IT,2021-01-07,15,Intero territorio nazionale,72,07/01/2021,08/01/2021,1609977600000,08/01/2021,Presidente della Repubblica,DL 05/01/2021 n.1,1609804800000,https://www.trovanorme.salute.gov.it/norme/dettaglioAttoById?id=78114,art.1,nazionale,https://www.gazzettaufficiale.it/eli/id/2021/01/05/21G00001/sg,gialla,2021-01-08,0
IT,2021-01-09,16,Intero territorio nazionale,73,09/01/2021,10/01/2021,1610150400000,10/01/2021,Presidente della Repubblica,DL 05/01/2021 n.1,1609804800000,https://www.trovanorme.salute.gov.it/norme/dettaglioAttoById?id=78114,art.2,nazionale,https://www.gazzettaufficiale.it/eli/id/2021/01/05/21G00001/sg,arancione,2021-01-10,0
ITF1,2021-01-10,17,Abruzzo,83,10/01/2021,15/01/2021,1610236800000,15/01/2021,Presidente della Repubblica,DL 05/01/2021 n.1,1609804800000,https://www.trovanorme.salute.gov.it/norme/dettaglioAttoById?id=78114,art.1,regionale,https://www.gazzettaufficiale.it/eli/id/2021/01/05/21G00001/sg,gialla,2021-01-15,2
ITF5,2021-01-10,17,Basilicata,84,10/01/2021,15/01/2021,1610236800000,15/01/2021,Presidente della Repubblica,DL 05/01/2021 n.1,1609804800000,https://www.trovanorme.salute.gov.it/norme/dettaglioAttoById?id=78114,art.1,regionale,https://www.gazzettaufficiale.it/eli/id/2021/01/05/21G00001/sg,gialla,2021-01-15,2
ITF6,2021-01-10,17,Calabria,94,10/01/2021,15/01/2021,1610236800000,15/01/2021,Ministero della Salute,Ordinanza 08/01/2021,1610064000000,https://www.trovanorme.salute.gov.it/norme/dettaglioAtto?id=78160,art.2,regionale,https://www.gazzettaufficiale.it/eli/id/2021/01/09/21A00122/sg,arancione,2021-01-15,2
ITF3,2021-01-10,17,Campania,89,10/01/2021,15/01/2021,1610236800000,15/01/2021,Presidente della Repubblica,DL 05/01/2021 n.1,1609804800000,https://www.trovanorme.salute.gov.it/norme/dettaglioAttoById?id=78114,art.1,regionale,https://www.gazzettaufficiale.it/eli/id/2021/01/05/21G00001/sg,gialla,2021-01-15,2
ITH5,2021-01-10,17,Emilia-Romagna,92,10/01/2021,15/01/2021,1610236800000,15/01/2021,Ministero della Salute,Ordinanza 08/01/2021,1610064000000,https://www.trovanorme.salute.gov.it/norme/dettaglioAtto?id=78159,art.2,regionale,https://www.gazzettaufficiale.it/eli/id/2021/01/09/21A00121/sg,arancione,2021-01-15,2
ITH4,2021-01-10,17,Friuli Venezia Giulia,81,10/01/2021,15/01/2021,1610236800000,15/01/2021,Presidente della Repubblica,DL 05/01/2021 n.1,1609804800000,https://www.trovanorme.salute.gov.it/norme/dettaglioAttoById?id=78114,art.1,regionale,https://www.gazzettaufficiale.it/eli/id/2021/01/05/21G00001/sg,gialla,2021-01-15,2
ITI4,2021-01-10,17,Lazio,74,10/01/2021,15/01/2021,1610236800000,15/01/2021,Presidente della Repubblica,DL 05/01/2021 n.1,1609804800000,https://www.trovanorme.salute.gov.it/norme/dettaglioAttoById?id=78114,art.1,regionale,https://www.gazzettaufficiale.it/eli/id/2021/01/05/21G00001/sg,gialla,2021-01-15,2
ITC3,2021-01-10,17,Liguria,78,10/01/2021,15/01/2021,1610236800000,15/01/2021,Presidente della Repubblica,DL 05/01/2021 n.1,1609804800000,https://www.trovanorme.salute.gov.it/norme/dettaglioAttoById?id=78114,art.1,regionale,https://www.gazzettaufficiale.it/eli/id/2021/01/05/21G00001/sg,gialla,2021-01-15,2
ITC4,2021-01-10,17,Lombardia,93,10/01/2021,15/01/2021,1610236800000,15/01/2021,Ministero della Salute,Ordinanza 08/01/2021,1610064000000,https://www.trovanorme.salute.gov.it/norme/dettaglioAtto?id=78157,art.2,regionale,https://www.gazzettaufficiale.it/eli/id/2021/01/09/21A00119/sg,arancione,2021-01-15,2
ITI3,2021-01-10,17,Marche,82,10/01/2021,15/01/2021,1610236800000,15/01/2021,Presidente della Repubblica,DL 05/01/2021 n.1,1609804800000,https://www.trovanorme.salute.gov.it/norme/dettaglioAttoById?id=78114,art.1,regionale,https://www.gazzettaufficiale.it/eli/id/2021/01/05/21G00001/sg,gialla,2021-01-15,2
ITF2,2021-01-10,17,Molise,75,10/01/2021,15/01/2021,1610236800000,15/01/2021,Presidente della Repubblica,DL 05/01/2021 n.1,1609804800000,https://www.trovanorme.salute.gov.it/norme/dettaglioAttoById?id=78114,art.1,regionale,https://www.gazzettaufficiale.it/eli/id/2021/01/05/21G00001/sg,gialla,2021-01-15,2
ITC1,2021-01-10,17,Piemonte,85,10/01/2021,15/01/2021,1610236800000,15/01/2021,Presidente della Repubblica,DL 05/01/2021 n.1,1609804800000,https://www.trovanorme.salute.gov.it/norme/dettaglioAttoById?id=78114,art.1,regionale,https://www.gazzettaufficiale.it/eli/id/2021/01/05/21G00001/sg,gialla,2021-01-15,2
ITH1,2021-01-10,17,Provincia autonoma Bolzano,87,10/01/2021,15/01/2021,1610236800000,15/01/2021,Presidente della Repubblica,DL 05/01/2021 n.1,1609804800000,https://www.trovanorme.salute.gov.it/norme/dettaglioAttoById?id=78114,art.1,provinciale,https://www.gazzettaufficiale.it/eli/id/2021/01/05/21G00001/sg,gialla,2021-01-15,2
ITH2,2021-01-10,17,Provincia autonoma Trento,77,10/01/2021,15/01/2021,1610236800000,15/01/2021,Presidente della Repubblica,DL 05/01/2021 n.1,1609804800000,https://www.trovanorme.salute.gov.it/norme/dettaglioAttoById?id=78114,art.1,provinciale,https://www.gazzettaufficiale.it/eli/id/2021/01/05/21G00001/sg,gialla,2021-01-15,2
