Regione,Ricoverati con sintomi,Terapia intensiva,Isolamento domiciliare,Totale attualmente positivi,DIMESSI GUARITI,DECEDUTI,CASI TOTALI,TAMPONI,datetime,fonte
Liguria,12,2,5,19,4,1,24,121,2020-03-03 18:00:00,http://www.protezionecivile.gov.it/attivita-rischi/rischio-sanitario/emergenze/coronavirus/
Toscana,10,,8,18,1,,19,697,2020-03-03 18:00:00,http://www.protezionecivile.gov.it/attivita-rischi/rischio-sanitario/emergenze/coronavirus/
Lazio,10,,1,11,3,,14,877,2020-03-03 18:00:00,http://www.protezionecivile.gov.it/attivita-rischi/rischio-sanitario/emergenze/coronavirus/
Friuli V.G.,1,,12,13,,,13,354,2020-03-03 18:00:00,http://www.protezionecivile.gov.it/attivita-rischi/rischio-sanitario/emergenze/coronavirus/
Sicilia,2,,3,5,2,,7,307,2020-03-03 18:00:00,http://www.protezionecivile.gov.it/attivita-rischi/rischio-sanitario/emergenze/coronavirus/
Puglia,2,,4,6,,,6,298,2020-03-03 18:00:00,http://www.protezionecivile.gov.it/attivita-rischi/rischio-sanitario/emergenze/coronavirus/
Abruzzo,5,,1,6,,,6,52,2020-03-03 18:00:00,http://www.protezionecivile.gov.it/attivita-rischi/rischio-sanitario/emergenze/coronavirus/
Trento,1,,3,4,,,4,122,2020-03-03 18:00:00,http://www.protezionecivile.gov.it/attivita-rischi/rischio-sanitario/emergenze/coronavirus/
Molise,3,,,3,,,3,13,2020-03-03 18:00:00,http://www.protezionecivile.gov.it/attivita-rischi/rischio-sanitario/emergenze/coronavirus/
Umbria,1,1,6,8,,,8,45,2020-03-03 18:00:00,http://www.protezionecivile.gov.it/attivita-rischi/rischio-sanitario/emergenze/coronavirus/
Bolzano,1,,,1,,,1,20,2020-03-03 18:00:00,http://www.protezionecivile.gov.it/attivita-rischi/rischio-sanitario/emergenze/coronavirus/
Calabria,,,1,1,,,1,39,2020-03-03 18:00:00,http://www.protezionecivile.gov.it/attivita-rischi/rischio-sanitario/emergenze/coronavirus/
Sardegna,1,,,1,,,1,29,2020-03-03 18:00:00,http://www.protezionecivile.gov.it/attivita-rischi/rischio-sanitario/emergenze/coronavirus/
Basilicata,,,1,1,,,1,42,2020-03-03 18:00:00,http://www.protezionecivile.gov.it/attivita-rischi/rischio-sanitario/emergenze/coronavirus/
Valle d'Aosta,,,,0,,,0,12,2020-03-03 18:00:00,http://www.protezionecivile.gov.it/attivita-rischi/rischio-sanitario/emergenze/coronavirus/
Lombardia,478,127,472,1077,139,38,1254,7925,2020-03-02 18:00:00,http://www.protezionecivile.gov.it/attivita-rischi/rischio-sanitario/emergenze/coronavirus/
Emilia Romagna,148,16,160,324,,11,335,1973,2020-03-02 18:00:00,http://www.protezionecivile.gov.it/attivita-rischi/rischio-sanitario/emergenze/coronavirus/
Veneto,53,14,204,271,,2,273,9782,2020-03-02 18:00:00,http://www.protezionecivile.gov.it/attivita-rischi/rischio-sanitario/emergenze/coronavirus/
Piemonte,12,2,37,51,,,51,434,2020-03-02 18:00:00,http://www.protezionecivile.gov.it/attivita-rischi/rischio-sanitario/emergenze/coronavirus/
Marche,17,6,11,34,,1,35,137,2020-03-02 18:00:00,http://www.protezionecivile.gov.it/attivita-rischi/rischio-sanitario/emergenze/coronavirus/
Liguria,12,1,5,18,4,,22,121,2020-03-02 18:00:00,http://www.protezionecivile.gov.it/attivita-rischi/rischio-sanitario/emergenze/coronavirus/
Campania,4,,13,17,,,17,373,2020-03-02 18:00:00,http://www.protezionecivile.gov.it/attivita-rischi/rischio-sanitario/emergenze/coronavirus/
Toscana,7,,5,12,1,,13,613,2020-03-02 18:00:00,http://www.protezionecivile.gov.it/attivita-rischi/rischio-sanitario/emergenze/coronavirus/
Friuli V.G.,,,9,9,,,9,269,2020-03-02 18:00:00,http://www.protezionecivile.gov.it/attivita-rischi/rischio-sanitario/emergenze/coronavirus/
Sicilia,2,,3,5,2,,7,307,2020-03-02 18:00:00,http://www.protezionecivile.gov.it/attivita-rischi/rischio-sanitario/emergenze/coronavirus/
Lazio,3,,1,4,3,,7,773,2020-03-02 18:00:00,http://www.protezionecivile.gov.it/attivita-rischi/rischio-sanitario/emergenze/coronavirus/
Abruzzo,3,,2,5,,,5,52,2020-03-02 18:00:00,http://www.protezionecivile.gov.it/attivita-rischi/rischio-sanitario/emergenze/coronavirus/
Puglia,2,,2,4,,,4,278,2020-03-02 18:00:00,http://www.protezionecivile.gov.it/attivita-rischi/rischio-sanitario/emergenze/coronavirus/
Umbria,,,2,2,,,2,35,2020-03-02 18:00:00,http://www.protezionecivile.gov.it/attivita-rischi/rischio-sanitario/emergenze/coronavirus/
Bolzano,1,,,1,,,1,20,2020-03-02 18:00:00,http://www.protezionecivile.gov.it/attivita-rischi/rischio-sanitario/emergenze/coronavirus/
Calabria,,,1,1,,,1,39,2020-03-02 18:00:00,http://www.protezionecivile.gov.it/attivita-rischi/rischio-sanitario/emergenze/coronavirus/
Sardegna,,,,0,,,0,29,2020-03-02 18:00:00,http://www.protezionecivile.gov.it/attivita-rischi/rischio-sanitario/emergenze/coronavirus/
Valle d'Aosta,,,,0,,,0,11,2020-03-02 18:00:00,http://www.protezionecivile.gov.it/attivita-rischi/rischio-sanitario/emergenze/coronavirus/
Trento,,,,0,,,0,122,2020-03-02 18:00:00,http://www.protezionecivile.gov.it/attivita-rischi/rischio-sanitario/emergenze/coronavirus/
Molise,,,,0,,,0,13,2020-03-02 18:00:00,http://www.protezionecivile.gov.it/attivita-rischi/rischio-sanitario/emergenze/coronavirus/
Basilicata,,,,0,,,0,39,2020-03-02 18:00:00,http://www.protezionecivile.gov.it/attivita-rischi/rischio-sanitario/emergenze/coronavirus/
Lombardia,,,,,,,984,,2020-03-01 18:00:00,http://www.salute.gov.it/portale/nuovocoronavirus/dettaglioContenutiNuovoCoronavirus.jsp?lingua=italiano&id=5351&area=nuovoCoronavirus&menu=vuoto
Emilia-Romagna,,,,,,,285,,2020-03-01 18:00:00,http://www.salute.gov.it/portale/nuovocoronavirus/dettaglioContenutiNuovoCoronavirus.jsp?lingua=italiano&id=5351&area=nuovoCoronavirus&menu=vuoto
Veneto,,,,,,,263,,2020-03-01 18:00:00,http://www.salute.gov.it/portale/nuovocoronavirus/dettaglioContenutiNuovoCoronavirus.jsp?lingua=italiano&id=5351&area=nuovoCoronavirus&menu=vuoto
Piemonte,,,,,,,49,,2020-03-01 18:00:00,http://www.salute.gov.it/portale/nuovocoronavirus/dettaglioContenutiNuovoCoronavirus.jsp?lingua=italiano&id=5351&area=nuovoCoronavirus&menu=vuoto
Marche,,,,,,,25,,2020-03-01 18:00:00,http://www.salute.gov.it/portale/nuovocoronavirus/dettaglioContenutiNuovoCoronavirus.jsp?lingua=italiano&id=5351&area=nuovoCoronavirus&menu=vuoto
Liguria,,,,,,,25,,2020-03-01 18:00:00,http://www.salute.gov.it/portale/nuovocoronavirus/dettaglioContenutiNuovoCoronavirus.jsp?lingua=italiano&id=5351&area=nuovoCoronavirus&menu=vuoto
Campania,,,,,,,17,,2020-03-01 18:00:00,http://www.salute.gov.it/portale/nuovocoronavirus/dettaglioContenutiNuovoCoronavirus.jsp?lingua=italiano&id=5351&area=nuovoCoronavirus&menu=vuoto
Toscana,,,,,,,13,,2020-03-01 18:00:00,http://www.salute.gov.it/portale/nuovocoronavirus/dettaglioContenutiNuovoCoronavirus.jsp?lingua=italiano&id=5351&area=nuovoCoronavirus&menu=vuoto
Sicilia,,,,,,,9,,2020-03-01 18:00:00,http://www.salute.gov.it/portale/nuovocoronavirus/dettaglioContenutiNuovoCoronavirus.jsp?lingua=italiano&id=5351&area=nuovoCoronavirus&menu=vuoto
Lazio,,,,,,,6,,2020-03-01 18:00:00,http://www.salute.gov.it/portale/nuovocoronavirus/dettaglioContenutiNuovoCoronavirus.jsp?lingua=italiano&id=5351&area=nuovoCoronavirus&menu=vuoto
Friuli V.G.,,,,,,,6,,2020-03-01 18:00:00,http://www.salute.gov.it/portale/nuovocoronavirus/dettaglioContenutiNuovoCoronavirus.jsp?lingua=italiano&id=5351&area=nuovoCoronavirus&menu=vuoto
Abruzzo,,,,,,,5,,2020-03-01 18:00:00,http://www.salute.gov.it/portale/nuovocoronavirus/dettaglioContenutiNuovoCoronavirus.jsp?lingua=italiano&id=5351&area=nuovoCoronavirus&menu=vuoto
Puglia,,,,,,,3,,2020-03-01 18:00:00,http://www.salute.gov.it/portale/nuovocoronavirus/dettaglioContenutiNuovoCoronavirus.jsp?lingua=italiano&id=5351&area=nuovoCoronavirus&menu=vuoto
Umbria,,,,,,,2,,2020-03-01 18:00:00,http://www.salute.gov.it/portale/nuovocoronavirus/dettaglioContenutiNuovoCoronavirus.jsp?lingua=italiano&id=5351&area=nuovoCoronavirus&menu=vuoto
Calabria,,,,,,,1,,2020-03-01 18:00:00,http://www.salute.gov.it/portale/nuovocoronavirus/dettaglioContenutiNuovoCoronavirus.jsp?lingua=italiano&id=5351&area=nuovoCoronavirus&menu=vuoto
Bolzano,,,,,,,1,,2020-03-01 18:00:00,http://www.salute.gov.it/portale/nuovocoronavirus/dettaglioContenutiNuovoCoronavirus.jsp?lingua=italiano&id=5351&area=nuovoCoronavirus&menu=vuoto
Lombardia,,,,,,,615,,2020-02-29 18:00:00,http://www.salute.gov.it/portale/nuovocoronavirus/dettaglioContenutiNuovoCoronavirus.jsp?lingua=italiano&id=5351&area=nuovoCoronavirus&menu=vuoto
Veneto,,,,,,,217,,2020-02-29 18:00:00,http://www.salute.gov.it/portale/nuovocoronavirus/dettaglioContenutiNuovoCoronavirus.jsp?lingua=italiano&id=5351&area=nuovoCoronavirus&menu=vuoto
Emilia-Romagna,,,,,,,191,,2020-02-29 18:00:00,http://www.salute.gov.it/portale/nuovocoronavirus/dettaglioContenutiNuovoCoronavirus.jsp?lingua=italiano&id=5351&area=nuovoCoronavirus&menu=vuoto
Piemonte,,,,,,,11,,2020-02-29 18:00:00,http://www.salute.gov.it/portale/nuovocoronavirus/dettaglioContenutiNuovoCoronavirus.jsp?lingua=italiano&id=5351&area=nuovoCoronavirus&menu=vuoto
Lazio,,,,,,,6,,2020-02-29 18:00:00,http://www.salute.gov.it/portale/nuovocoronavirus/dettaglioContenutiNuovoCoronavirus.jsp?lingua=italiano&id=5351&area=nuovoCoronavirus&menu=vuoto
Toscana,,,,,,,11,,2020-02-29 18:00:00,http://www.salute.gov.it/portale/nuovocoronavirus/dettaglioContenutiNuovoCoronavirus.jsp?lingua=italiano&id=5351&area=nuovoCoronavirus&menu=vuoto
Sicilia,,,,,,,4,,2020-02-29 18:00:00,http://www.salute.gov.it/portale/nuovocoronavirus/dettaglioContenutiNuovoCoronavirus.jsp?lingua=italiano&id=5351&area=nuovoCoronavirus&menu=vuoto
Liguria,,,,,,,42,,2020-02-29 18:00:00,http://www.salute.gov.it/portale/nuovocoronavirus/dettaglioContenutiNuovoCoronavirus.jsp?lingua=italiano&id=5351&area=nuovoCoronavirus&menu=vuoto
Bolzano,,,,,,,1,,2020-02-29 18:00:00,http://www.salute.gov.it/portale/nuovocoronavirus/dettaglioContenutiNuovoCoronavirus.jsp?lingua=italiano&id=5351&area=nuovoCoronavirus&menu=vuoto
Marche,,,,,,,11,,2020-02-29 18:00:00,http://www.salute.gov.it/portale/nuovocoronavirus/dettaglioContenutiNuovoCoronavirus.jsp?lingua=italiano&id=5351&area=nuovoCoronavirus&menu=vuoto
Campania,,,,,,,13,,2020-02-29 18:00:00,http://www.salute.gov.it/portale/nuovocoronavirus/dettaglioContenutiNuovoCoronavirus.jsp?lingua=italiano&id=5351&area=nuovoCoronavirus&menu=vuoto
Abruzzo,,,,,,,2,,2020-02-29 18:00:00,http://www.salute.gov.it/portale/nuovocoronavirus/dettaglioContenutiNuovoCoronavirus.jsp?lingua=italiano&id=5351&area=nuovoCoronavirus&menu=vuoto
Puglia,,,,,,,3,,2020-02-29 18:00:00,http://www.salute.gov.it/portale/nuovocoronavirus/dettaglioContenutiNuovoCoronavirus.jsp?lingua=italiano&id=5351&area=nuovoCoronavirus&menu=vuoto
Calabria,,,,,,,1,,2020-02-29 18:00:00,http://www.salute.gov.it/portale/nuovocoronavirus/dettaglioContenutiNuovoCoronavirus.jsp?lingua=italiano&id=5351&area=nuovoCoronavirus&menu=vuoto
Lombardia,,,,,,,531,,2020-02-28 18:00:00,http://www.protezionecivile.gov.it/dettaglio/-/journal_content/56/20182/1219558?refererPlid=42041&controlPanelCategory=current_site.content
Veneto,,,,,,,151,,2020-02-28 18:00:00,http://www.protezionecivile.gov.it/dettaglio/-/journal_content/56/20182/1219558?refererPlid=42041&controlPanelCategory=current_site.content
Emilia-Romagna,,,,,,,145,,2020-02-28 18:00:00,http://www.protezionecivile.gov.it/dettaglio/-/journal_content/56/20182/1219558?refererPlid=42041&controlPanelCategory=current_site.content
Piemonte,,,,,,,11,,2020-02-28 18:00:00,http://www.protezionecivile.gov.it/dettaglio/-/journal_content/56/20182/1219558?refererPlid=42041&controlPanelCategory=current_site.content
Lazio,,,,,,,3,,2020-02-28 18:00:00,http://www.protezionecivile.gov.it/dettaglio/-/journal_content/56/20182/1219558?refererPlid=42041&controlPanelCategory=current_site.content
Toscana,,,,,,,8,,2020-02-28 18:00:00,http://www.protezionecivile.gov.it/dettaglio/-/journal_content/56/20182/1219558?refererPlid=42041&controlPanelCategory=current_site.content
Sicilia,,,,,,,4,,2020-02-28 18:00:00,http://www.protezionecivile.gov.it/dettaglio/-/journal_content/56/20182/1219558?refererPlid=42041&controlPanelCategory=current_site.content
Liguria,,,,,,,19,,2020-02-28 18:00:00,http://www.protezionecivile.gov.it/dettaglio/-/journal_content/56/20182/1219558?refererPlid=42041&controlPanelCategory=current_site.content
Bolzano,,,,,,,1,,2020-02-28 18:00:00,http://www.protezionecivile.gov.it/dettaglio/-/journal_content/56/20182/1219558?refererPlid=42041&controlPanelCategory=current_site.content
Marche,,,,,,,6,,2020-02-28 18:00:00,http://www.protezionecivile.gov.it/dettaglio/-/journal_content/56/20182/1219558?refererPlid=42041&controlPanelCategory=current_site.content
Campania,,,,,,,4,,2020-02-28 18:00:00,http://www.protezionecivile.gov.it/dettaglio/-/journal_content/56/20182/1219558?refererPlid=42041&controlPanelCategory=current_site.content
Abruzzo,,,,,,,1,,2020-02-28 18:00:00,http://www.protezionecivile.gov.it/dettaglio/-/journal_content/56/20182/1219558?refererPlid=42041&controlPanelCategory=current_site.content
Puglia,,,,,,,3,,2020-02-28 18:00:00,http://www.protezionecivile.gov.it/dettaglio/-/journal_content/56/20182/1219558?refererPlid=42041&controlPanelCategory=current_site.content
Calabria,,,,,,,1,,2020-02-28 18:00:00,http://www.protezionecivile.gov.it/dettaglio/-/journal_content/56/20182/1219558?refererPlid=42041&controlPanelCategory=current_site.content
Lombardia,,,,,,,403,,2020-02-27 18:00:00,http://www.protezionecivile.gov.it/dettaglio/-/journal_content/56/20182/1218891?refererPlid=42041&controlPanelCategory=current_site.content
Veneto,,,,,,,111,,2020-02-27 18:00:00,http://www.protezionecivile.gov.it/dettaglio/-/journal_content/56/20182/1218891?refererPlid=42041&controlPanelCategory=current_site.content
Emilia-Romagna,,,,,,,97,,2020-02-27 18:00:00,http://www.protezionecivile.gov.it/dettaglio/-/journal_content/56/20182/1218891?refererPlid=42041&controlPanelCategory=current_site.content
Piemonte,,,,,,,2,,2020-02-27 18:00:00,http://www.protezionecivile.gov.it/dettaglio/-/journal_content/56/20182/1218891?refererPlid=42041&controlPanelCategory=current_site.content
Lazio,,,,,,,3,,2020-02-27 18:00:00,http://www.protezionecivile.gov.it/dettaglio/-/journal_content/56/20182/1218891?refererPlid=42041&controlPanelCategory=current_site.content
Toscana,,,,,,,2,,2020-02-27 18:00:00,http://www.protezionecivile.gov.it/dettaglio/-/journal_content/56/20182/1218891?refererPlid=42041&controlPanelCategory=current_site.content
Sicilia,,,,,,,4,,2020-02-27 18:00:00,http://www.protezionecivile.gov.it/dettaglio/-/journal_content/56/20182/1218891?refererPlid=42041&controlPanelCategory=current_site.content
Liguria,,,,,,,19,,2020-02-27 18:00:00,http://www.protezionecivile.gov.it/dettaglio/-/journal_content/56/20182/1218891?refererPlid=42041&controlPanelCategory=current_site.content
Bolzano,,,,,,,1,,2020-02-27 18:00:00,http://www.protezionecivile.gov.it/dettaglio/-/journal_content/56/20182/1218891?refererPlid=42041&controlPanelCategory=current_site.content
Marche,,,,,,,3,,2020-02-27 18:00:00,http://www.protezionecivile.gov.it/dettaglio/-/journal_content/56/20182/1218891?refererPlid=42041&controlPanelCategory=current_site.content
Campania,,,,,,,3,,2020-02-27 18:00:00,http://www.protezionecivile.gov.it/dettaglio/-/journal_content/56/20182/1218891?refererPlid=42041&controlPanelCategory=current_site.content
Abruzzo,,,,,,,1,,2020-02-27 18:00:00,http://www.protezionecivile.gov.it/dettaglio/-/journal_content/56/20182/1218891?refererPlid=42041&controlPanelCategory=current_site.content
Puglia,,,,,,,1,,2020-02-27 18:00:00,http://www.protezionecivile.gov.it/dettaglio/-/journal_content/56/20182/1218891?refererPlid=42041&controlPanelCategory=current_site.content
Lombardia,,,,,,,305,,2020-02-27 12:00:00,http://www.protezionecivile.gov.it/dettaglio/-/journal_content/56/20182/1218473?refererPlid=42041&controlPanelCategory=current_site.content
Veneto,,,,,,,98,,2020-02-27 12:00:00,http://www.protezionecivile.gov.it/dettaglio/-/journal_content/56/20182/1218473?refererPlid=42041&controlPanelCategory=current_site.content
Emilia-Romagna,,,,,,,97,,2020-02-27 12:00:00,http://www.protezionecivile.gov.it/dettaglio/-/journal_content/56/20182/1218473?refererPlid=42041&controlPanelCategory=current_site.content
Piemonte,,,,,,,2,,2020-02-27 12:00:00,http://www.protezionecivile.gov.it/dettaglio/-/journal_content/56/20182/1218473?refererPlid=42041&controlPanelCategory=current_site.content
Lazio,,,,,,,3,,2020-02-27 12:00:00,http://www.protezionecivile.gov.it/dettaglio/-/journal_content/56/20182/1218473?refererPlid=42041&controlPanelCategory=current_site.content
Toscana,,,,,,,2,,2020-02-27 12:00:00,http://www.protezionecivile.gov.it/dettaglio/-/journal_content/56/20182/1218473?refererPlid=42041&controlPanelCategory=current_site.content
Sicilia,,,,,,,3,,2020-02-27 12:00:00,http://www.protezionecivile.gov.it/dettaglio/-/journal_content/56/20182/1218473?refererPlid=42041&controlPanelCategory=current_site.content
Liguria,,,,,,,11,,2020-02-27 12:00:00,http://www.protezionecivile.gov.it/dettaglio/-/journal_content/56/20182/1218473?refererPlid=42041&controlPanelCategory=current_site.content
Bolzano,,,,,,,1,,2020-02-27 12:00:00,http://www.protezionecivile.gov.it/dettaglio/-/journal_content/56/20182/1218473?refererPlid=42041&controlPanelCategory=current_site.content
Marche,,,,,,,3,,2020-02-27 12:00:00,http://www.protezionecivile.gov.it/dettaglio/-/journal_content/56/20182/1218473?refererPlid=42041&controlPanelCategory=current_site.content
Campania,,,,,,,2,,2020-02-27 12:00:00,http://www.protezionecivile.gov.it/dettaglio/-/journal_content/56/20182/1218473?refererPlid=42041&controlPanelCategory=current_site.content
Abruzzo,,,,,,,1,,2020-02-27 12:00:00,http://www.protezionecivile.gov.it/dettaglio/-/journal_content/56/20182/1218473?refererPlid=42041&controlPanelCategory=current_site.content
Lombardia,,,,,,,258,,2020-02-26 18:00:00,http://www.protezionecivile.gov.it/dettaglio/-/journal_content/56/20182/1218121?refererPlid=42041&controlPanelCategory=current_site.content
Veneto,,,,,,,71,,2020-02-26 18:00:00,http://www.protezionecivile.gov.it/dettaglio/-/journal_content/56/20182/1218121?refererPlid=42041&controlPanelCategory=current_site.content
Emilia-Romagna,,,,,,,47,,2020-02-26 18:00:00,http://www.protezionecivile.gov.it/dettaglio/-/journal_content/56/20182/1218121?refererPlid=42041&controlPanelCategory=current_site.content
Piemonte,,,,,,,3,,2020-02-26 18:00:00,http://www.protezionecivile.gov.it/dettaglio/-/journal_content/56/20182/1218121?refererPlid=42041&controlPanelCategory=current_site.content
Lazio,,,,,,,3,,2020-02-26 18:00:00,http://www.protezionecivile.gov.it/dettaglio/-/journal_content/56/20182/1218121?refererPlid=42041&controlPanelCategory=current_site.content
