somministrazioni,regione,siglaCategoria,identificativo,categoria,codice_regione,data,vaccino,punto,classeEta
0,Molise,TML_CAT_ALTRO,27/12/2020_PF/BT_MOL_140 001_P.O. ANTONIO CARDARELLI_20-29,2 - Personale non Sanitario,14,2020-12-27,PF/BT,140 001_P.O. ANTONIO CARDARELLI,20-29
0,Molise,TML_CAT_PERSONALE,27/12/2020_PF/BT_MOL_140 001_P.O. ANTONIO CARDARELLI_20-29,2 - Personale non Sanitario,14,2020-12-27,PF/BT,140 001_P.O. ANTONIO CARDARELLI,20-29
0,Molise,TML_CAT_ALTRO,"27/12/2020_PF/BT_MOL_201_Casa di riposo ""Cannavina"" - Ripalimosani_20-29",2 - Personale non Sanitario,14,2020-12-27,PF/BT,"201_Casa di riposo ""Cannavina"" - Ripalimosani",20-29
0,Molise,TML_CAT_PERSONALE,"27/12/2020_PF/BT_MOL_201_Casa di riposo ""Cannavina"" - Ripalimosani_20-29",2 - Personale non Sanitario,14,2020-12-27,PF/BT,"201_Casa di riposo ""Cannavina"" - Ripalimosani",20-29
0,Molise,TML_CAT_ALTRO,27/12/2020_PF/BT_MOL_140 001_P.O. ANTONIO CARDARELLI_30-39,2 - Personale non Sanitario,14,2020-12-27,PF/BT,140 001_P.O. ANTONIO CARDARELLI,30-39
0,Molise,TML_CAT_PERSONALE,27/12/2020_PF/BT_MOL_140 001_P.O. ANTONIO CARDARELLI_30-39,2 - Personale non Sanitario,14,2020-12-27,PF/BT,140 001_P.O. ANTONIO CARDARELLI,30-39
0,Molise,TML_CAT_PERSONALE,"27/12/2020_PF/BT_MOL_201_Casa di riposo ""Cannavina"" - Ripalimosani_30-39",2 - Personale non Sanitario,14,2020-12-27,PF/BT,"201_Casa di riposo ""Cannavina"" - Ripalimosani",30-39
1,Molise,TML_CAT_ALTRO,"27/12/2020_PF/BT_MOL_201_Casa di riposo ""Cannavina"" - Ripalimosani_30-39",2 - Personale non Sanitario,14,2020-12-27,PF/BT,"201_Casa di riposo ""Cannavina"" - Ripalimosani",30-39
0,Molise,TML_CAT_ALTRO,27/12/2020_PF/BT_MOL_140 001_P.O. ANTONIO CARDARELLI_40-49,2 - Personale non Sanitario,14,2020-12-27,PF/BT,140 001_P.O. ANTONIO CARDARELLI,40-49
0,Molise,TML_CAT_PERSONALE,27/12/2020_PF/BT_MOL_140 001_P.O. ANTONIO CARDARELLI_40-49,2 - Personale non Sanitario,14,2020-12-27,PF/BT,140 001_P.O. ANTONIO CARDARELLI,40-49
0,Molise,TML_CAT_ALTRO,"27/12/2020_PF/BT_MOL_201_Casa di riposo ""Cannavina"" - Ripalimosani_40-49",2 - Personale non Sanitario,14,2020-12-27,PF/BT,"201_Casa di riposo ""Cannavina"" - Ripalimosani",40-49
0,Molise,TML_CAT_PERSONALE,"27/12/2020_PF/BT_MOL_201_Casa di riposo ""Cannavina"" - Ripalimosani_40-49",2 - Personale non Sanitario,14,2020-12-27,PF/BT,"201_Casa di riposo ""Cannavina"" - Ripalimosani",40-49
0,Molise,TML_CAT_ALTRO,27/12/2020_PF/BT_MOL_140 001_P.O. ANTONIO CARDARELLI_50-59,2 - Personale non Sanitario,14,2020-12-27,PF/BT,140 001_P.O. ANTONIO CARDARELLI,50-59
0,Molise,TML_CAT_PERSONALE,27/12/2020_PF/BT_MOL_140 001_P.O. ANTONIO CARDARELLI_50-59,2 - Personale non Sanitario,14,2020-12-27,PF/BT,140 001_P.O. ANTONIO CARDARELLI,50-59
0,Molise,TML_CAT_ALTRO,"27/12/2020_PF/BT_MOL_201_Casa di riposo ""Cannavina"" - Ripalimosani_50-59",2 - Personale non Sanitario,14,2020-12-27,PF/BT,"201_Casa di riposo ""Cannavina"" - Ripalimosani",50-59
0,Molise,TML_CAT_PERSONALE,"27/12/2020_PF/BT_MOL_201_Casa di riposo ""Cannavina"" - Ripalimosani_50-59",2 - Personale non Sanitario,14,2020-12-27,PF/BT,"201_Casa di riposo ""Cannavina"" - Ripalimosani",50-59
0,Molise,TML_CAT_ALTRO,27/12/2020_PF/BT_MOL_140 001_P.O. ANTONIO CARDARELLI_60-69,2 - Personale non Sanitario,14,2020-12-27,PF/BT,140 001_P.O. ANTONIO CARDARELLI,60-69
0,Molise,TML_CAT_PERSONALE,27/12/2020_PF/BT_MOL_140 001_P.O. ANTONIO CARDARELLI_60-69,2 - Personale non Sanitario,14,2020-12-27,PF/BT,140 001_P.O. ANTONIO CARDARELLI,60-69
0,Molise,TML_CAT_ALTRO,"27/12/2020_PF/BT_MOL_201_Casa di riposo ""Cannavina"" - Ripalimosani_60-69",2 - Personale non Sanitario,14,2020-12-27,PF/BT,"201_Casa di riposo ""Cannavina"" - Ripalimosani",60-69
0,Molise,TML_CAT_PERSONALE,"27/12/2020_PF/BT_MOL_201_Casa di riposo ""Cannavina"" - Ripalimosani_60-69",2 - Personale non Sanitario,14,2020-12-27,PF/BT,"201_Casa di riposo ""Cannavina"" - Ripalimosani",60-69
0,Molise,TML_CAT_ALTRO,27/12/2020_PF/BT_MOL_140 001_P.O. ANTONIO CARDARELLI_70-79,2 - Personale non Sanitario,14,2020-12-27,PF/BT,140 001_P.O. ANTONIO CARDARELLI,70-79
0,Molise,TML_CAT_PERSONALE,27/12/2020_PF/BT_MOL_140 001_P.O. ANTONIO CARDARELLI_70-79,2 - Personale non Sanitario,14,2020-12-27,PF/BT,140 001_P.O. ANTONIO CARDARELLI,70-79
0,Molise,TML_CAT_ALTRO,"27/12/2020_PF/BT_MOL_201_Casa di riposo ""Cannavina"" - Ripalimosani_70-79",2 - Personale non Sanitario,14,2020-12-27,PF/BT,"201_Casa di riposo ""Cannavina"" - Ripalimosani",70-79
0,Molise,TML_CAT_PERSONALE,"27/12/2020_PF/BT_MOL_201_Casa di riposo ""Cannavina"" - Ripalimosani_70-79",2 - Personale non Sanitario,14,2020-12-27,PF/BT,"201_Casa di riposo ""Cannavina"" - Ripalimosani",70-79
0,Molise,TML_CAT_ALTRO,27/12/2020_PF/BT_MOL_140 001_P.O. ANTONIO CARDARELLI_80-89,2 - Personale non Sanitario,14,2020-12-27,PF/BT,140 001_P.O. ANTONIO CARDARELLI,80-89
0,Molise,TML_CAT_PERSONALE,27/12/2020_PF/BT_MOL_140 001_P.O. ANTONIO CARDARELLI_80-89,2 - Personale non Sanitario,14,2020-12-27,PF/BT,140 001_P.O. ANTONIO CARDARELLI,80-89
0,Molise,TML_CAT_ALTRO,"27/12/2020_PF/BT_MOL_201_Casa di riposo ""Cannavina"" - Ripalimosani_80-89",2 - Personale non Sanitario,14,2020-12-27,PF/BT,"201_Casa di riposo ""Cannavina"" - Ripalimosani",80-89
0,Molise,TML_CAT_PERSONALE,"27/12/2020_PF/BT_MOL_201_Casa di riposo ""Cannavina"" - Ripalimosani_80-89",2 - Personale non Sanitario,14,2020-12-27,PF/BT,"201_Casa di riposo ""Cannavina"" - Ripalimosani",80-89
0,Molise,TML_CAT_ALTRO,27/12/2020_PF/BT_MOL_140 001_P.O. ANTONIO CARDARELLI_90+,2 - Personale non Sanitario,14,2020-12-27,PF/BT,140 001_P.O. ANTONIO CARDARELLI,90+
0,Molise,TML_CAT_PERSONALE,27/12/2020_PF/BT_MOL_140 001_P.O. ANTONIO CARDARELLI_90+,2 - Personale non Sanitario,14,2020-12-27,PF/BT,140 001_P.O. ANTONIO CARDARELLI,90+
0,Molise,TML_CAT_ALTRO,"27/12/2020_PF/BT_MOL_201_Casa di riposo ""Cannavina"" - Ripalimosani_90+",2 - Personale non Sanitario,14,2020-12-27,PF/BT,"201_Casa di riposo ""Cannavina"" - Ripalimosani",90+
0,Molise,TML_CAT_PERSONALE,"27/12/2020_PF/BT_MOL_201_Casa di riposo ""Cannavina"" - Ripalimosani_90+",2 - Personale non Sanitario,14,2020-12-27,PF/BT,"201_Casa di riposo ""Cannavina"" - Ripalimosani",90+
0,Molise,TML_CAT_RSA_OSPITI,27/12/2020_PF/BT_MOL_140 001_P.O. ANTONIO CARDARELLI_16-19,3 - Ospiti Strutture Residenziali,14,2020-12-27,PF/BT,140 001_P.O. ANTONIO CARDARELLI,16-19
0,Molise,TML_CAT_RSA_OSPITI,"27/12/2020_PF/BT_MOL_201_Casa di riposo ""Cannavina"" - Ripalimosani_16-19",3 - Ospiti Strutture Residenziali,14,2020-12-27,PF/BT,"201_Casa di riposo ""Cannavina"" - Ripalimosani",16-19
0,Molise,TML_CAT_RSA_OSPITI,27/12/2020_PF/BT_MOL_140 001_P.O. ANTONIO CARDARELLI_20-29,3 - Ospiti Strutture Residenziali,14,2020-12-27,PF/BT,140 001_P.O. ANTONIO CARDARELLI,20-29
0,Molise,TML_CAT_RSA_OSPITI,"27/12/2020_PF/BT_MOL_201_Casa di riposo ""Cannavina"" - Ripalimosani_20-29",3 - Ospiti Strutture Residenziali,14,2020-12-27,PF/BT,"201_Casa di riposo ""Cannavina"" - Ripalimosani",20-29
0,Molise,TML_CAT_RSA_OSPITI,27/12/2020_PF/BT_MOL_140 001_P.O. ANTONIO CARDARELLI_30-39,3 - Ospiti Strutture Residenziali,14,2020-12-27,PF/BT,140 001_P.O. ANTONIO CARDARELLI,30-39
0,Molise,TML_CAT_RSA_OSPITI,"27/12/2020_PF/BT_MOL_201_Casa di riposo ""Cannavina"" - Ripalimosani_30-39",3 - Ospiti Strutture Residenziali,14,2020-12-27,PF/BT,"201_Casa di riposo ""Cannavina"" - Ripalimosani",30-39
0,Molise,TML_CAT_RSA_OSPITI,27/12/2020_PF/BT_MOL_140 001_P.O. ANTONIO CARDARELLI_40-49,3 - Ospiti Strutture Residenziali,14,2020-12-27,PF/BT,140 001_P.O. ANTONIO CARDARELLI,40-49
0,Molise,TML_CAT_RSA_OSPITI,"27/12/2020_PF/BT_MOL_201_Casa di riposo ""Cannavina"" - Ripalimosani_40-49",3 - Ospiti Strutture Residenziali,14,2020-12-27,PF/BT,"201_Casa di riposo ""Cannavina"" - Ripalimosani",40-49
0,Molise,TML_CAT_RSA_OSPITI,27/12/2020_PF/BT_MOL_140 001_P.O. ANTONIO CARDARELLI_50-59,3 - Ospiti Strutture Residenziali,14,2020-12-27,PF/BT,140 001_P.O. ANTONIO CARDARELLI,50-59
0,Molise,TML_CAT_RSA_OSPITI,"27/12/2020_PF/BT_MOL_201_Casa di riposo ""Cannavina"" - Ripalimosani_50-59",3 - Ospiti Strutture Residenziali,14,2020-12-27,PF/BT,"201_Casa di riposo ""Cannavina"" - Ripalimosani",50-59
0,Molise,TML_CAT_RSA_OSPITI,27/12/2020_PF/BT_MOL_140 001_P.O. ANTONIO CARDARELLI_60-69,3 - Ospiti Strutture Residenziali,14,2020-12-27,PF/BT,140 001_P.O. ANTONIO CARDARELLI,60-69
1,Molise,TML_CAT_RSA_OSPITI,"27/12/2020_PF/BT_MOL_201_Casa di riposo ""Cannavina"" - Ripalimosani_60-69",3 - Ospiti Strutture Residenziali,14,2020-12-27,PF/BT,"201_Casa di riposo ""Cannavina"" - Ripalimosani",60-69
0,Molise,TML_CAT_RSA_OSPITI,27/12/2020_PF/BT_MOL_140 001_P.O. ANTONIO CARDARELLI_70-79,3 - Ospiti Strutture Residenziali,14,2020-12-27,PF/BT,140 001_P.O. ANTONIO CARDARELLI,70-79
4,Molise,TML_CAT_RSA_OSPITI,"27/12/2020_PF/BT_MOL_201_Casa di riposo ""Cannavina"" - Ripalimosani_70-79",3 - Ospiti Strutture Residenziali,14,2020-12-27,PF/BT,"201_Casa di riposo ""Cannavina"" - Ripalimosani",70-79
0,Molise,TML_CAT_RSA_OSPITI,27/12/2020_PF/BT_MOL_140 001_P.O. ANTONIO CARDARELLI_80-89,3 - Ospiti Strutture Residenziali,14,2020-12-27,PF/BT,140 001_P.O. ANTONIO CARDARELLI,80-89
6,Molise,TML_CAT_RSA_OSPITI,"27/12/2020_PF/BT_MOL_201_Casa di riposo ""Cannavina"" - Ripalimosani_80-89",3 - Ospiti Strutture Residenziali,14,2020-12-27,PF/BT,"201_Casa di riposo ""Cannavina"" - Ripalimosani",80-89
0,Molise,TML_CAT_RSA_OSPITI,27/12/2020_PF/BT_MOL_140 001_P.O. ANTONIO CARDARELLI_90+,3 - Ospiti Strutture Residenziali,14,2020-12-27,PF/BT,140 001_P.O. ANTONIO CARDARELLI,90+
6,Molise,TML_CAT_RSA_OSPITI,"27/12/2020_PF/BT_MOL_201_Casa di riposo ""Cannavina"" - Ripalimosani_90+",3 - Ospiti Strutture Residenziali,14,2020-12-27,PF/BT,"201_Casa di riposo ""Cannavina"" - Ripalimosani",90+
0,Molise,TML_CAT_OSS,04/01/2021_PF/BT_MOL_14000100_P.O. A.CARDARELLI-CAMPOBASSO_16-19,1 - Operatori Sanitari e Sociosanitari,14,2021-01-04,PF/BT,14000100_P.O. A.CARDARELLI-CAMPOBASSO,16-19
0,Molise,TML_CAT_OSS,04/01/2021_PF/BT_MOL_14000200_P.O. SAN TIMOTEO - TERMOLI_16-19,1 - Operatori Sanitari e Sociosanitari,14,2021-01-04,PF/BT,14000200_P.O. SAN TIMOTEO - TERMOLI,16-19
0,Molise,TML_CAT_OSS,04/01/2021_PF/BT_MOL_14000301_P.O.ISERNIA_16-19,1 - Operatori Sanitari e Sociosanitari,14,2021-01-04,PF/BT,14000301_P.O.ISERNIA,16-19
10,Molise,TML_CAT_OSS,04/01/2021_PF/BT_MOL_14000100_P.O. A.CARDARELLI-CAMPOBASSO_20-29,1 - Operatori Sanitari e Sociosanitari,14,2021-01-04,PF/BT,14000100_P.O. A.CARDARELLI-CAMPOBASSO,20-29
5,Molise,TML_CAT_OSS,04/01/2021_PF/BT_MOL_14000200_P.O. SAN TIMOTEO - TERMOLI_20-29,1 - Operatori Sanitari e Sociosanitari,14,2021-01-04,PF/BT,14000200_P.O. SAN TIMOTEO - TERMOLI,20-29
3,Molise,TML_CAT_OSS,04/01/2021_PF/BT_MOL_14000301_P.O.ISERNIA_20-29,1 - Operatori Sanitari e Sociosanitari,14,2021-01-04,PF/BT,14000301_P.O.ISERNIA,20-29
23,Molise,TML_CAT_OSS,04/01/2021_PF/BT_MOL_14000100_P.O. A.CARDARELLI-CAMPOBASSO_30-39,1 - Operatori Sanitari e Sociosanitari,14,2021-01-04,PF/BT,14000100_P.O. A.CARDARELLI-CAMPOBASSO,30-39
12,Molise,TML_CAT_OSS,04/01/2021_PF/BT_MOL_14000200_P.O. SAN TIMOTEO - TERMOLI_30-39,1 - Operatori Sanitari e Sociosanitari,14,2021-01-04,PF/BT,14000200_P.O. SAN TIMOTEO - TERMOLI,30-39
10,Molise,TML_CAT_OSS,04/01/2021_PF/BT_MOL_14000301_P.O.ISERNIA_30-39,1 - Operatori Sanitari e Sociosanitari,14,2021-01-04,PF/BT,14000301_P.O.ISERNIA,30-39
23,Molise,TML_CAT_OSS,04/01/2021_PF/BT_MOL_14000100_P.O. A.CARDARELLI-CAMPOBASSO_40-49,1 - Operatori Sanitari e Sociosanitari,14,2021-01-04,PF/BT,14000100_P.O. A.CARDARELLI-CAMPOBASSO,40-49
32,Molise,TML_CAT_OSS,04/01/2021_PF/BT_MOL_14000200_P.O. SAN TIMOTEO - TERMOLI_40-49,1 - Operatori Sanitari e Sociosanitari,14,2021-01-04,PF/BT,14000200_P.O. SAN TIMOTEO - TERMOLI,40-49
31,Molise,TML_CAT_OSS,04/01/2021_PF/BT_MOL_14000301_P.O.ISERNIA_40-49,1 - Operatori Sanitari e Sociosanitari,14,2021-01-04,PF/BT,14000301_P.O.ISERNIA,40-49
25,Molise,TML_CAT_OSS,04/01/2021_PF/BT_MOL_14000100_P.O. A.CARDARELLI-CAMPOBASSO_50-59,1 - Operatori Sanitari e Sociosanitari,14,2021-01-04,PF/BT,14000100_P.O. A.CARDARELLI-CAMPOBASSO,50-59
46,Molise,TML_CAT_OSS,04/01/2021_PF/BT_MOL_14000200_P.O. SAN TIMOTEO - TERMOLI_50-59,1 - Operatori Sanitari e Sociosanitari,14,2021-01-04,PF/BT,14000200_P.O. SAN TIMOTEO - TERMOLI,50-59
21,Molise,TML_CAT_OSS,04/01/2021_PF/BT_MOL_14000301_P.O.ISERNIA_50-59,1 - Operatori Sanitari e Sociosanitari,14,2021-01-04,PF/BT,14000301_P.O.ISERNIA,50-59
16,Molise,TML_CAT_OSS,04/01/2021_PF/BT_MOL_14000100_P.O. A.CARDARELLI-CAMPOBASSO_60-69,1 - Operatori Sanitari e Sociosanitari,14,2021-01-04,PF/BT,14000100_P.O. A.CARDARELLI-CAMPOBASSO,60-69
22,Molise,TML_CAT_OSS,04/01/2021_PF/BT_MOL_14000200_P.O. SAN TIMOTEO - TERMOLI_60-69,1 - Operatori Sanitari e Sociosanitari,14,2021-01-04,PF/BT,14000200_P.O. SAN TIMOTEO - TERMOLI,60-69
12,Molise,TML_CAT_OSS,04/01/2021_PF/BT_MOL_14000301_P.O.ISERNIA_60-69,1 - Operatori Sanitari e Sociosanitari,14,2021-01-04,PF/BT,14000301_P.O.ISERNIA,60-69
1,Molise,TML_CAT_OSS,04/01/2021_PF/BT_MOL_14000100_P.O. A.CARDARELLI-CAMPOBASSO_70-79,1 - Operatori Sanitari e Sociosanitari,14,2021-01-04,PF/BT,14000100_P.O. A.CARDARELLI-CAMPOBASSO,70-79
0,Molise,TML_CAT_OSS,04/01/2021_PF/BT_MOL_14000200_P.O. SAN TIMOTEO - TERMOLI_70-79,1 - Operatori Sanitari e Sociosanitari,14,2021-01-04,PF/BT,14000200_P.O. SAN TIMOTEO - TERMOLI,70-79
0,Molise,TML_CAT_OSS,04/01/2021_PF/BT_MOL_14000301_P.O.ISERNIA_70-79,1 - Operatori Sanitari e Sociosanitari,14,2021-01-04,PF/BT,14000301_P.O.ISERNIA,70-79
0,Molise,TML_CAT_OSS,04/01/2021_PF/BT_MOL_14000100_P.O. A.CARDARELLI-CAMPOBASSO_80-89,1 - Operatori Sanitari e Sociosanitari,14,2021-01-04,PF/BT,14000100_P.O. A.CARDARELLI-CAMPOBASSO,80-89
0,Molise,TML_CAT_OSS,04/01/2021_PF/BT_MOL_14000200_P.O. SAN TIMOTEO - TERMOLI_80-89,1 - Operatori Sanitari e Sociosanitari,14,2021-01-04,PF/BT,14000200_P.O. SAN TIMOTEO - TERMOLI,80-89
0,Molise,TML_CAT_OSS,04/01/2021_PF/BT_MOL_14000301_P.O.ISERNIA_80-89,1 - Operatori Sanitari e Sociosanitari,14,2021-01-04,PF/BT,14000301_P.O.ISERNIA,80-89
0,Molise,TML_CAT_OSS,04/01/2021_PF/BT_MOL_14000100_P.O. A.CARDARELLI-CAMPOBASSO_90+,1 - Operatori Sanitari e Sociosanitari,14,2021-01-04,PF/BT,14000100_P.O. A.CARDARELLI-CAMPOBASSO,90+
0,Molise,TML_CAT_OSS,04/01/2021_PF/BT_MOL_14000200_P.O. SAN TIMOTEO - TERMOLI_90+,1 - Operatori Sanitari e Sociosanitari,14,2021-01-04,PF/BT,14000200_P.O. SAN TIMOTEO - TERMOLI,90+
0,Molise,TML_CAT_OSS,04/01/2021_PF/BT_MOL_14000301_P.O.ISERNIA_90+,1 - Operatori Sanitari e Sociosanitari,14,2021-01-04,PF/BT,14000301_P.O.ISERNIA,90+
0,Molise,TML_CAT_ALTRO,04/01/2021_PF/BT_MOL_14000100_P.O. A.CARDARELLI-CAMPOBASSO_16-19,2 - Personale non Sanitario,14,2021-01-04,PF/BT,14000100_P.O. A.CARDARELLI-CAMPOBASSO,16-19
0,Molise,TML_CAT_PERSONALE,04/01/2021_PF/BT_MOL_14000100_P.O. A.CARDARELLI-CAMPOBASSO_16-19,2 - Personale non Sanitario,14,2021-01-04,PF/BT,14000100_P.O. A.CARDARELLI-CAMPOBASSO,16-19
0,Molise,TML_CAT_ALTRO,04/01/2021_PF/BT_MOL_14000200_P.O. SAN TIMOTEO - TERMOLI_16-19,2 - Personale non Sanitario,14,2021-01-04,PF/BT,14000200_P.O. SAN TIMOTEO - TERMOLI,16-19
0,Molise,TML_CAT_PERSONALE,04/01/2021_PF/BT_MOL_14000200_P.O. SAN TIMOTEO - TERMOLI_16-19,2 - Personale non Sanitario,14,2021-01-04,PF/BT,14000200_P.O. SAN TIMOTEO - TERMOLI,16-19
0,Molise,TML_CAT_ALTRO,04/01/2021_PF/BT_MOL_14000301_P.O.ISERNIA_16-19,2 - Personale non Sanitario,14,2021-01-04,PF/BT,14000301_P.O.ISERNIA,16-19
0,Molise,TML_CAT_PERSONALE,04/01/2021_PF/BT_MOL_14000301_P.O.ISERNIA_16-19,2 - Personale non Sanitario,14,2021-01-04,PF/BT,14000301_P.O.ISERNIA,16-19
0,Molise,TML_CAT_ALTRO,04/01/2021_PF/BT_MOL_14000100_P.O. A.CARDARELLI-CAMPOBASSO_20-29,2 - Personale non Sanitario,14,2021-01-04,PF/BT,14000100_P.O. A.CARDARELLI-CAMPOBASSO,20-29
0,Molise,TML_CAT_PERSONALE,04/01/2021_PF/BT_MOL_14000100_P.O. A.CARDARELLI-CAMPOBASSO_20-29,2 - Personale non Sanitario,14,2021-01-04,PF/BT,14000100_P.O. A.CARDARELLI-CAMPOBASSO,20-29
0,Molise,TML_CAT_ALTRO,04/01/2021_PF/BT_MOL_14000200_P.O. SAN TIMOTEO - TERMOLI_20-29,2 - Personale non Sanitario,14,2021-01-04,PF/BT,14000200_P.O. SAN TIMOTEO - TERMOLI,20-29
0,Molise,TML_CAT_PERSONALE,04/01/2021_PF/BT_MOL_14000200_P.O. SAN TIMOTEO - TERMOLI_20-29,2 - Personale non Sanitario,14,2021-01-04,PF/BT,14000200_P.O. SAN TIMOTEO - TERMOLI,20-29
0,Molise,TML_CAT_ALTRO,04/01/2021_PF/BT_MOL_14000301_P.O.ISERNIA_20-29,2 - Personale non Sanitario,14,2021-01-04,PF/BT,14000301_P.O.ISERNIA,20-29
0,Molise,TML_CAT_PERSONALE,04/01/2021_PF/BT_MOL_14000301_P.O.ISERNIA_20-29,2 - Personale non Sanitario,14,2021-01-04,PF/BT,14000301_P.O.ISERNIA,20-29
